src_ip,dst_ip,Dst Port,Protocol,timespan,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
192.168.234.178,149.154.167.99,443,6,2025-08-30 13:44:42,113.97806000709534,181.54371112047255,1.193212097060906,0.7545311790238082,0.43868091803709774,86,50,12633,8059,253,54,146.8953488372093,89.55237899139168,585,54,161.18,73.07877667284804,585,54,152.14705882352942,84.15519009996498,7082.096020761244,1720,1000,20,45,0.844281925978484,3.850632905960083,0.0,1.238458487443953,113.97806000709534,3.850632905960083,0.0,1.3409183530246511,1.3339577210143212,110.86955618858337,4.012943983078003,0.003551006317138672,2.2626440038486404,1.3041360549075072,45,0,0,0,88,136,0,0,0.5813953488372093,152.14705882352942,256,127,0,0,0,0,0,0,0,0,146.8953488372093,161.18,86,50,12633,8059
192.168.234.178,138.199.36.110,443,6,2025-08-30 13:44:45,103.38266682624817,20.206482035435528,0.3482208488634174,0.18378322578902584,0.16443762307439155,19,17,1039,1050,55,54,54.68421052631579,0.46482951928041294,66,54,61.76470588235294,5.734615344448913,66,54,58.02777777777778,5.304537424125747,28.138117283950617,380,340,20,13,2.9537904807499475,10.016231060028076,0.0,4.468607395837428,103.27878785133362,10.189882040023804,0.0,5.737710436185201,4.883902358350761,103.29834985733032,10.122321128845215,0.0,6.456146866083145,4.701157427246819,0,0,0,0,0,36,0,0,0.8947368421052632,58.02777777777778,257,501,0,0,0,0,0,0,0,0,54.68421052631579,61.76470588235294,19,17,1039,1050
192.168.234.178,52.98.179.50,443,17,2025-08-30 13:44:46,109.39825701713562,3745.690390074636,6.3620757677243605,2.815401345487217,3.5466744222371434,308,388,149819,259953,1292,77,486.4253246753247,559.2230849216708,1514,69,669.9819587628866,678.8478164669431,1514,69,588.7528735632184,635.3000077507196,403606.09984806436,6160,7760,20,308,0.15740756405343254,6.414355993270874,0.0,0.6277021708837115,109.25101017951965,6.589419841766357,0.0,0.35586648266944515,0.9574720033792296,109.13714599609375,6.563708066940308,0.0,0.28200812918887275,0.8569288278217805,0,0,0,0,0,0,0,0,1.2597402597402598,588.7528735632184,0,0,0,0,0,0,0,0,0,0,486.4253246753247,669.9819587628866,308,388,149819,259953
192.168.234.178,146.75.117.44,443,6,2025-08-30 13:44:46,90.33564400672913,4.627187912324653,0.07748879279012577,0.04427931016578615,0.03320948262433961,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.055940667788187,45.010666847229004,0.0,21.18070957623339,90.21884298324585,45.11384582519531,0.0,30.07294766108195,21.264785528260223,90.23246502876282,45.12601399421692,45.1064510345459,45.11623251438141,0.009781479835510254,0,0,0,0,0,7,0,0,0.75,59.714285714285715,258,297,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,13.69.116.108,443,6,2025-08-30 13:44:47,95.01944398880005,401.75987563660857,0.968222883001126,0.5788288974463254,0.3893939855548007,55,37,33697,4478,1464,54,612.6727272727272,574.4503477094179,333,54,121.02702702702703,105.23242910056138,1464,54,414.94565217391306,509.7527184849881,259847.83400283556,1100,740,20,46,1.0441697141626378,44.957934856414795,0.0,4.963812590662607,94.9268069267273,44.957934856414795,0.0,1.7579038319764313,6.358745210043414,94.82859802246094,45.10134506225586,0.0,2.634127722846137,7.694295196927465,31,0,0,0,43,92,0,0,0.6727272727272727,414.94565217391306,257,16385,0,0,0,0,0,0,0,0,612.6727272727272,121.02702702702703,55,37,33697,4478
192.168.234.178,178.250.7.13,443,6,2025-08-30 13:44:47,90.36076807975769,4.625901360544532,0.07746724766462135,0.04426699866549791,0.03320024899912343,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.060128013292948,45.0031681060791,0.0,21.172251289010227,90.27957201004028,45.19364404678345,0.0,30.093190670013428,21.27914462903369,90.17029213905334,45.08804202079773,45.082250118255615,45.08514606952667,0.002895951271057129,0,0,0,0,0,7,0,0,0.75,59.714285714285715,258,69,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,18.66.147.61,443,6,2025-08-30 13:44:47,90.51714205741882,4.617909829000622,0.07733341818900563,0.04419052467943179,0.03314289350957385,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.086190342903137,45.01480221748352,0.0,21.158216259214367,90.42165994644165,45.28978681564331,0.0,30.14055331548055,21.31268714178575,90.400071144104,45.303020000457764,45.09705114364624,45.200035572052,0.10298442840576172,0,0,0,0,0,7,0,0,0.75,59.714285714285715,257,135,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,18.245.60.124,443,6,2025-08-30 13:44:47,90.50116515159607,4.618725066133893,0.07734707048549583,0.044198325991711904,0.033148744493783924,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.083527525266012,45.0080771446228,0.0,21.15772772128377,90.4056990146637,45.28980278968811,0.0,30.135233004887898,21.308945884572772,90.39334607124329,45.296294927597046,45.09705114364624,45.19667303562164,0.09962189197540283,0,0,0,0,0,7,0,0,0.75,59.714285714285715,257,145,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,52.98.179.50,443,6,2025-08-30 13:44:48,90.46185493469238,4.620732134022335,0.07738068167023049,0.044217532382988846,0.033163149287241636,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.07697582244873,45.011784076690674,0.0,21.16659807188129,90.3767158985138,45.26379704475403,0.0,30.125571966171265,21.302085277797765,90.35891699790955,45.26199388504028,45.09692311286926,45.17945849895477,0.08253538608551025,0,0,0,0,0,7,0,0,0.75,59.714285714285715,255,16385,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,142.250.201.34,443,6,2025-08-30 13:44:48,90.28964805603027,4.629545125046953,0.07752826764432695,0.04430186722532969,0.033226400418997264,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.048274676005045,45.00941181182861,0.0,21.185199072382495,90.19377708435059,45.097838163375854,0.0,30.064592361450195,21.258877146530377,90.20312094688416,45.10373091697693,45.09939002990723,45.10156047344208,0.0021704435348510742,0,0,0,0,0,7,0,0,0.75,59.714285714285715,255,1076,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,178.250.7.13,443,6,2025-08-30 13:44:50,90.39525008201599,4.6241367729028555,0.07743769715387556,0.044250112659357466,0.0331875844945181,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.065875013669332,45.0092408657074,0.0,21.17086329371496,90.31240797042847,45.200631856918335,0.0,30.104135990142822,21.286869608916877,90.28601908683777,45.19393610954285,45.09208297729492,45.143009543418884,0.0509265661239624,0,0,0,0,0,7,0,0,0.75,59.714285714285715,258,63,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,146.75.117.44,443,6,2025-08-30 13:44:50,90.39683294296265,4.624055803633562,0.07743634120917449,0.04424933783381399,0.03318700337536049,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.066138823827108,45.01259088516235,0.0,21.17197639370977,90.31240797042847,45.20029807090759,0.0,30.104135990142822,21.28686914623116,90.28760194778442,45.19058609008789,45.09701585769653,45.14380097389221,0.04678511619567871,0,0,0,0,0,7,0,0,0.75,59.714285714285715,254,297,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,146.75.117.44,443,6,2025-08-30 13:44:51,90.63162612915039,4.612076576937376,0.07723573214966899,0.04413470408552513,0.03310102806414385,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.105271021525065,45.01441192626953,0.0,21.144468708623588,90.52202892303467,45.26391315460205,0.0,30.174009641011555,21.336246964017445,90.36892318725586,45.244914054870605,45.124009132385254,45.18446159362793,0.06045246124267578,0,0,0,0,0,7,0,0,0.75,59.714285714285715,257,298,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,178.250.7.13,443,6,2025-08-30 13:44:51,90.28256797790527,4.629908180085181,0.0775343475133882,0.04430534143622182,0.03322900607716637,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.047094662984213,45.01337790489197,0.0,21.186152564802708,90.17476201057434,45.09191584587097,0.0,30.05825400352478,21.254395559038123,90.20403003692627,45.11203408241272,45.09199595451355,45.102015018463135,0.010019063949584961,0,0,0,0,0,7,0,0,0.75,59.714285714285715,258,72,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,146.75.117.44,443,6,2025-08-30 13:44:52,90.41681098937988,4.623034095386279,0.07741923126244965,0.0442395607213998,0.03317967054104985,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.06946849822998,45.010303020477295,0.0,21.170952029391852,90.32090306282043,45.216546058654785,0.0,30.10696768760681,21.28889028112922,90.32275700569153,45.21796107292175,45.104795932769775,45.161378502845764,0.05658257007598877,0,0,0,0,0,7,0,0,0.75,59.714285714285715,257,320,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,178.250.7.13,443,6,2025-08-30 13:44:52,90.53789019584656,4.616851564530668,0.07731569605673368,0.04418039774670496,0.03313529831002872,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.089648365974426,45.01218295097351,0.0,21.15711156278731,90.43177318572998,45.22942614555359,0.0,30.143924395243328,21.314976218285214,90.34772610664368,45.23347496986389,45.114251136779785,45.17386305332184,0.05961191654205322,0,0,0,0,0,7,0,0,0.75,59.714285714285715,258,63,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198
192.168.234.178,52.123.128.14,443,6,2025-08-30 13:45:00,91.34489417076111,167.98968502075107,0.4269532561622217,0.18610782960917358,0.24084542655304814,17,22,6669,8676,1464,54,392.29411764705884,507.6033380395832,1464,54,394.3636363636364,524.2020382061711,1464,54,393.46153846153845,517.0332452810344,267323.3767258383,340,440,20,11,2.4038130044937134,45.003373861312866,0.0,10.040799725179802,91.25087594985962,45.18872690200806,0.0,5.703179746866226,14.905783321838236,91.01147317886353,45.0947470664978,0.0,4.333879675183978,13.224436440611846,7,0,3,0,16,37,0,0,1.2941176470588236,393.46153846153845,64240,65535,0,0,0,0,0,0,0,0,392.29411764705884,394.3636363636364,17,22,6669,8676
192.168.234.178,142.250.110.188,5228,6,2025-08-30 13:45:08,90.33115100860596,4.627418064895206,0.07749264701977618,0.04428151258272924,0.03321113443704693,4,3,220,198,55,55,55.0,0.0,66,66,66.0,0.0,66,55,59.714285714285715,5.443588252359329,29.63265306122449,80,60,20,4,15.05519183476766,45.00967001914978,0.0,21.179884747271256,90.20678496360779,45.110705852508545,0.0,30.068928321202595,21.261943957449827,90.23011517524719,45.130741119384766,45.09937405586243,45.115057587623596,0.015683531761169434,0,0,0,0,0,7,0,0,0.75,59.714285714285715,256,1046,0,0,0,0,0,0,0,0,55.0,66.0,4,3,220,198

192.168.234.178,216.58.211.206,443,17,2025-08-30 13:45:10,96.1046850681305,391.55219096054844,0.8948575185385906,0.43702343928628845,0.4578340792523022,42,44,25189,12441,1292,73,599.7380952380952,565.792409328293,1292,64,282.75,363.1719555777701,1292,64,437.5581395348837,498.9243920128339,248925.54894537592,840,880,20,42,1.1306433537427116,17.174316883087158,0.0,3.9978538134888173,96.1046850681305,17.280520915985107,0.0,2.3440167089787924,5.545542751619219,95.6465711593628,17.254229068756104,0.0,2.224338864171228,5.43472482181601,0,0,0,0,0,0,0,0,1.0476190476190477,437.5581395348837,0,0,0,0,0,0,0,0,0,0,599.7380952380952,282.75,42,44,25189,12441

192.168.234.178,91.106.99.251,443,6,2025-08-30 13:45:12,120.33316206932068,60.42390871280664,0.3157899231311584,0.1578949615655792,0.1578949615655792,19,19,4604,2667,1438,54,242.31578947368422,348.2233180365392,357,54,140.3684210526316,109.98239597236785,1438,54,191.3421052631579,263.2035710359838,69276.11980609418,380,380,20,12,3.2522476234951534,45.152597188949585,0.0,11.094370331362656,90.61602520942688,45.18084216117859,0.0,5.034223622745937,14.171596447350781,120.31020998954773,45.18618297576904,0.0,6.683900554974874,15.178447888705785,9,0,3,0,19,36,0,0,1.0,191.3421052631579,64240,64240,0,0,0,0,0,0,0,0,242.31578947368422,140.3684210526316,19,19,4604,2667

